@relation test_clustered

@attribute Instance_number numeric
@attribute tweet string
@attribute user string
@attribute timestamp numeric
@attribute lat numeric
@attribute lon numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
0,'I m at Teatra Bars (L??pl??a 26  Riga) http   4sq.com fzznfV',Rishaars,1300189090000,0.83731,23.9326,cluster0
1,' JDGONER morning man',gaydriveruk,1300189091000,0.794295,-1.73557,cluster8
2,'CAR HID XENON conversion KIT 9006 6000K SINGLE BEAM http   weav.rs hfCY5m','drunk  santa',1300189094000,0.503946,-97.7564,cluster7
3,' bob exia akuuu ajaaa kosanny paling dkeet ;) http   myloc.me ixLLU',pedrosagnez,1300189100000,-0.121099,107.754,cluster1
4,'I m at Gotham Coffee House (1298 2nd Ave  btw 68th St & 69th St  New York) http   4sq.com i5SOYp',bergdofboy,1300189101000,0.652975,-73.9601,cluster7
5,'Makin gila aja pon! http   myloc.me ixLEQ',afryefryefrye,1300189101000,0.061943,98.6265,cluster1
6,' ganzae pijetono aq lek pgel wkwk',justmyfreak,1300189102000,-0.138584,112.578,cluster1
7,'bout to head to bed!!',' Mr ESPN',1300189105000,0.60935,-77.4566,cluster7
8,'I m at Svenska kyrkan - Gustav Adolfs församling (Furutorpsgatan 47  Helsingborg) http   4sq.com evBr1k',jacobsunnliden,1300189106000,0.828227,12.5398,cluster9
9,'I m at Technische Universiteit Eindhoven (TU e) (Den Dolech 2  Eindhoven) http   4sq.com fsjJkH','    Em    ',1300189106000,0.781983,5.48085,cluster9
10,'If they did this it would be on my list RT  GamingChannel  Blizzard just won t stop teasing Diablo 3 for consoles http   dlvr.it KJyCG',mbekiaris,1300189106000,0.689049,-79.328,cluster7
11,'And all love should be from the heart and true',jljm55,1300189109000,0.570554,-82.6257,cluster7
12,'haha RT  akhmadsyahroni  krrr..... RT  ryannalendra   akhmadsyahroni -.- RT  MentionKe  #MentionKe temen-temenmu yang mukanya kayak ora…',ryannalendra,1300189109000,-0.139733,112.631,cluster1
13,'Saya sdh sampe dirumah dengan selamat. (  Rasamala Raya No  11) http   4sq.com fXTZjF',Arsojo,1300189109000,-0.10872,106.817,cluster1
14,'drink BAR metal metal http   weav.rs eyPVGO',vodkabottle,1300189109000,0.790453,20.9936,cluster9
15,'I m at Marcel (Achterkerspel 49  Gendringen) http   4sq.com gV4U9O',marstdi,1300189110000,0.785141,4.99372,cluster9
16,'iya mggu dpn  ( doain y bay hahaRT  BayuAryaDipta  nanti ada juga giliranmu datang  P RT  sinta cappucino beyum hahahaRT  BayuAryaDipta ','sinta cappucino',1300189113000,-0.041879,113.797,cluster1
17,'Was out walking 3.10 km with #Endomondo. See it here  http   bit.ly gMEdAp',oskars79,1300189114000,0.83731,23.9326,cluster0
18,'Internet pastinya RT  bbcommunity  Siapa yang akan #bertahan sampai 10 tahun ke depan? Twitter atau Facebook ? http   myloc.me ixLNN',RonaldMuda,1300189115000,-0.120083,107.46,cluster1
19,' supramanik ihiiww makasiihh banyaakk mba nyunnyun  D http   myloc.me ixLEB',dewiisyifaa,1300189115000,-0.120912,107.593,cluster1
20,'Breakfast ahh. ?????',' bnassty',1300189116000,0.642999,-75.1143,cluster7
21,' wilddog0416  telegraaf jammer da m n tatoo eraf is anders won ik gelijk',vanskeijndul,1300189118000,0.783696,5.30396,cluster9
22,'Ni XXI telat bgt!! Udah ntn dvd semua kaliii basii ahh http   myloc.me ixLOc',erinhidayat,1300189118000,-0.108302,106.878,cluster1
23,' megodruadh Hi Meg. Sorry to hear about your bf s parents business. The FB story is part of everything that s going on w the budget battle.',SusanKim4,1300189121000,0.682618,-87.9724,cluster7
24,'Think i mite b a mornin after all  already at wrk  wish i cld clock in early  but they cnt to pay me overtime -)  b safe out there',ROMMANTICROMMEL,1300189287000,0.650607,-74.5767,cluster7
25,'I m at Faculdade Mauricio De Nassau - Bloco Capunga (Rua Fernando Lopes  752  Recife) http   4sq.com ii4T0N',paulakyrillos,1300189125000,-0.141896,-35.0198,cluster4
26,'(Aku) lenjeh..jalan2naik motor pake pasmina saking takutny sama panas hahah.. (  lassellinastaya ) http   myloc.me ixLLF',RaedilaAlmash,1300189126000,-0.129456,109.227,cluster1
27,'awake got a hair appointment later finally! i need my short hair back! &lt;3',britstevenson,1300189127000,0.588958,-80.1312,cluster7
28,'Begitu pula sebaliknya RT  NasihatSahabat  Intinya satu. Kalo kamu syg cowok itu. Apapun keadaannya  trima apa ... http   tmi.me 7HQTa','Miss Ucha',1300189128000,-0.107812,106.704,cluster1
29,'It s shit being selfemployed when you wake up thinking your going to dye! #flu',MissTPrince,1300189131000,0.792207,-1.30595,cluster8
30,' JD 2020 4 30pst still down...',kasmithz,1300189132000,0.619897,-122.032,cluster7
31,' Banzo86  bones2105 I took that first double too. Major pressure Bones',darrenleahy,1300189136000,0.833176,-3.09802,cluster8
32,'ganti topik »» BOM BUKU RT  miald aldz  gosip murahan... RT  llavly  sst   sudahllah jgn diomongin lg RT  lovita 18  Iia hrus dbwa','lovita 18',1300189138000,-0.120388,107.57,cluster1
33,'Ta no inferno abraça o capeeeta... Ido pro trampo a peh.... Vtnc.. Soh ne falta eu chega e toma bronca!   ','Leo Seia',1300189139000,-0.406877,-46.826,cluster4
34,' jbaziledyt yo your name sounds familiar but I can t think where I heard it','ch0c0latt3 girl',1300189140000,0.640065,-84.1852,cluster7
35,'I m at Napoleon s Pizza (1-4 Peters Rest  Christiansted) http   4sq.com i6kMen',callfirst,1300189155000,0.302761,-65.1591,cluster7
36,'Dapettt 4 bukunya.... Yeaayy!!! Smoga membantu!! Amiien... (  Blok M Square) http   4sq.com hio38e',NonaVieka,1300189155000,-0.109185,106.792,cluster1
37,' shanithetranny thanks  )',Pendutom,1300189158000,0.793652,-0.497659,cluster8
38,'Om man har två ettåriga tvillingar  en av varje  bör man då ta hål i öronen på tjejen och ge henne blommiga kläder och pojken blå? #genus',dukanhetaemil,1300189160000,0.859735,18.0696,cluster9
39,'Pssa day 2 (  Reading High) http   4sq.com h3zOYR',Breakenews,1300189160000,0.646745,-75.9601,cluster7
40,'I m at UPRM Student Center (University of Puerto Rico at Mayaguez  Mayaguez) http   4sq.com gtkFlO',Enbedo,1300189160000,0.312053,-67.1648,cluster7
41,' SaloneTete hey hun. I m just coolin',Pook1989,1300189161000,0.626975,-76.9581,cluster7
42,' SurreyAd I will be there and have my camera with me.',Chaosfruitbat,1300189164000,0.779046,-0.748351,cluster6
43,'I m at Bus Stop 36232576 (Leopold Place  Edinburgh) http   4sq.com e6GElv',cazoopz,1300189166000,0.828624,-3.18468,cluster8
44,' PsycochriS  ) vero!',Giacomosx,1300189168000,0.632444,8.85158,cluster5
45,' caesarbros dejate de historias y deja de cambiar piezas del traje como sí fueran tazos. Aburrimiento de aeropuerto!',pepebest,1300189170000,0.766192,14.396,cluster9
46,' VictorFDP descrever um cabelo deveria te envergonhar. Já que até o do Alemão  você gostou.',eduardovalim,1300189171000,-0.395645,-46.1086,cluster4
47,' kirkenlove OKAY ILL TRY TO.',KirkenKrissy,1300189172000,0.65852,-73.5081,cluster7
48,' captainweb c clair  ou etre sous subtance  qui fait rire',Pim59139,1300189172000,0.772412,3.01241,cluster6
49,'Hmm  follow up begint dicht te slibben  mensen -bericht komt!! http   4sq.com eBY8KX',misscomm,1300189173000,0.791371,4.9426,cluster9
50,'  Tristan NL  Oké tot straks liefje. Ik leg me iPod weg.',htiskylie,1300189173000,0.775147,5.89552,cluster9
51,'Nu gelooo !! RT  kemalgiffari 8  pesta janda man  ahahaha RT  imanmanzz  Pesta naon? Jang...RT  kemalgiffari 8  bos  http   myloc.me ixLOn',imanmanzz,1300189176000,-0.120148,107.61,cluster1
52,'I m at Geoffrey s bed (Watertorstraat) http   4sq.com ejdCbS',RagebolGeoff,1300189178000,0.785928,5.83035,cluster9
53,'I m at Cafe Zaiya (1073 6th Ave  W 41st St  New York) http   4sq.com fgDH9B',yzasia,1300189180000,0.652807,-73.9907,cluster7
54,' NonChalantLonda Sup Londa',LikeMikeC,1300189183000,0.62822,-77.0232,cluster7
55,'Eu ontem fui durmit td encolhido agarrando os travesseiros',Luccianomaia,1300189183000,-0.392064,-43.7952,cluster4
56,'I m at Austin Museum of Art - Laguna Gloria (3809 W 35th St  Austin) http   4sq.com fUyoHy',TB4G,1300189184000,0.504717,-97.7736,cluster7
57,'No lifetime appointments for Supreme Court INjustices.  No one in America has a lifetime job - why should the politically biased INjustices?',MinneeMouseCat,1300189185000,0.588075,-115.014,cluster7
58,'off to school follow me! i follow back!',ellenshowlove,1300189185000,0.6522,-73.8079,cluster7
59,' MaximSpiridonov ???',shebeko,1300189187000,0.830483,43.5465,cluster0
60,' jooplammerts dat gaat denk k op het moment een beetje lastig worden met jan etc.  p',maikelteheux,1300189187000,0.785755,5.75765,cluster9
61,' NiklasJonevrer  Hahahaha',mfrolund,1300189187000,0.860146,18.0626,cluster9
62,'RT  isyaisyo  Ketika anak masih kanak2 jdilah orang tua yg menjaganya. Saat mereka remaja  jadilah sahabatnya  (cont) http   tl.gd 99oqaa',tizha,1300189187000,-0.111063,106.874,cluster1
63,'gud morn my other world','Neykid truth',1300189188000,0.651154,-74.0972,cluster7
64,'Hah   nih liat *nempokeunBuluIdung RT  justantiezahra   jo zo ne RT  MentionKe  #MentionKe temen kamu yang bulu idungnya banyak','jo zo ne',1300189190000,-0.11817,106.962,cluster1
65,'Badan pegel2.. http   myloc.me ixLWM','Hifzan ir',1300189193000,-0.120751,107.364,cluster1
66,'Sabar nardo  D RT  nardosahertian7  Tai ah... http   myloc.me ixLWP',siahayaAUDRY,1300189194000,-0.089801,119.402,cluster1
67,'Out in the world and explore. Sogndal in Norway next.    OSL Oslo Lufthavn Gardermoen http   gowal.la c 3Leaj',MentorGuru,1300189197000,0.861382,10.3286,cluster9
68,'Abisbya siapa dong!?hheRT  uphaandudh  Hahaa siaull aku nnya km ? RT  JustLyaa  Emg ada? Haha! Lo yaa  ))RT (cont) http   tl.gd 99oqen',JustLyaa,1300189197000,-0.112133,106.725,cluster1
