@relation test
@attribute tweet_attr string
@attribute user_attr string
@attribute timestamp_attr numeric
@attribute lat_attr real
@attribute lon_attr real
@data
"i'm at teatra bars (l??pl??a 26, riga) ", "rishaars", 1300189090000, 0.8373096037872866, 23.9326
"morning man ", "gaydriveruk", 1300189091000, 0.7942948100939449, -1.73557
"car hid xenon conversion kit 9006 6000k single beam ", "drunksanta", 1300189094000, 0.5039458456519391, -97.7564
"akuuu ajaaa kosanny paling dkeet ;) ", "pedrosagnez", 1300189100000, -0.12109929399982826, 107.754
"i'm at gotham coffee house (1298 2nd ave, btw 68th st & 69th st, new york) ", "bergdofboy", 1300189101000, 0.6529752473605092, -73.9601
"makin gila aja pon! ", "afryefryefrye", 1300189101000, 0.06194324213956145, 98.6265
"pijetono aq lek pgel wkwk ", "justmyfreak", 1300189102000, -0.1385835370549939, 112.578
"bout to head to bed!! ", "mrespn", 1300189105000, 0.6093497368315796, -77.4566
"i'm at svenska kyrkan - gustav adolfs församling (furutorpsgatan 47, helsingborg) ", "jacobsunnliden", 1300189106000, 0.8282266413185347, 12.5398
"i'm at technische universiteit eindhoven (tu/e) (den dolech 2, eindhoven) ", "em", 1300189106000, 0.7819830410004871, 5.48085
"if they did this it would be on my list rt blizzard just won't stop teasing diablo 3 for consoles ", "mbekiaris", 1300189106000, 0.6890493171889169, -79.328
"and all love should be from the heart and true ", "jljm", 1300189109000, 0.5705544525099048, -82.6257
"haha rt krrr..... rt -.- rt #mentionke temen-temenmu yang mukanya kayak ora… ", "ryannalendra", 1300189109000, -0.13973288305014298, 112.631
"saya sdh sampe dirumah dengan selamat. rasamala raya no: 11) ", "arsojo", 1300189109000, -0.10871974817524402, 106.817
"drink bar metal metal ", "vodkabottle", 1300189109000, 0.7904533874449614, 20.9936
"i'm at marcel (achterkerspel 49, gendringen) ", "marstdi", 1300189110000, 0.7851407717135945, 4.99372
"iya mggu dpn :( doain y bay hahart nanti ada juga giliranmu datang :p rt beyum hahahart ", "sintacappucino", 1300189113000, -0.041878968950674014, 113.797
"was out walking 3.10 km with #endomondo. see it here: ", "oskars", 1300189114000, 0.8373096037872866, 23.9326
"internet pastinya rt siapa yang akan #bertahan sampai 10 tahun ke depan? twitter atau facebook ? ", "ronaldmuda", 1300189115000, -0.12008295487915889, 107.46
"ihiiww makasiihh banyaakk mba nyunnyun :d ", "dewiisyifaa", 1300189115000, -0.12091235076484266, 107.593
"breakfast ahh. ????? ", "bnassty", 1300189116000, 0.6429988375716419, -75.1143
"jammer da m'n tatoo eraf is anders won ik gelijk ", "vanskeijndul", 1300189118000, 0.7836956326158625, 5.30396
"ni xxi telat bgt!! udah ntn dvd semua kaliii basii ahh ", "erinhidayat", 1300189118000, -0.10830178424309013, 106.878
"hi meg. sorry to hear about your bf's parents business. the fb story is part of everything that's going on w/the budget battle. ", "susankim", 1300189121000, 0.6826184611505629, -87.9724
"think i mite b a mornin after all, already at wrk, wish i cld clock in early, but they cnt to pay me overtime:-) b safe out there ", "rommanticrommel", 1300189287000, 0.6506072095534968, -74.5767
"i'm at faculdade mauricio de nassau - bloco capunga (rua fernando lopes, 752, recife) ", "paulakyrillos", 1300189125000, -0.14189557461888283, -35.0198
"(aku) lenjeh..jalan2naik motor pake pasmina saking takutny sama panas hahah.. ( ) ", "raedilaalmash", 1300189126000, -0.1294558641607481, 109.227
"awake got a hair appointment later finally! i need my short hair back! &lt;3 ", "britstevenson", 1300189127000, 0.5889579975566223, -80.1312
"begitu pula sebaliknya rt intinya satu. kalo kamu syg cowok itu. apapun keadaannya, trima apa ... ", "missucha", 1300189128000, -0.1078123069385381, 106.704
"it's shit being selfemployed when you wake up thinking your going to dye! #flu ", "misstprince", 1300189131000, 0.7922065784915514, -1.30595
"4:30pst still down... ", "kasmithz", 1300189132000, 0.6198968373156689, -122.032
"i took that first double too. major pressure bones ", "darrenleahy", 1300189136000, 0.8331761293823687, -3.09802
"ganti topik »» bom buku rt gosip murahan... rt sst , sudahllah jgn diomongin lg rt iia hrus dbwa ", "lovita", 1300189138000, -0.12038755840841535, 107.57
"ta no inferno abraça o capeeeta... ido pro trampo a peh.... vtnc.. soh ne falta eu chega e toma bronca! ", "leoseia", 1300189139000, -0.40687695686431635, -46.826
"yo your name sounds familiar but i can't think where i heard it ", "chclattgirl", 1300189140000, 0.6400654420848957, -84.1852
"i'm at napoleon's pizza (1-4 peters rest, christiansted) ", "callfirst", 1300189155000, 0.30276083242799584, -65.1591
