@relation test-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.MathExpression-Esin((A*0.0174532925))

@attribute lat_attr numeric
@attribute lon_attr numeric

@data
0.014613,0.405662
0.013863,-0.030287
0.008795,-0.990851
-0.002114,0.952375
0.011396,-0.96107
0.001081,0.988687
-0.002419,0.923358
0.010635,-0.976132
0.014455,0.217118
0.013648,0.095513
0.012026,-0.982703
0.009958,-0.991729
-0.002439,0.923002
-0.001898,0.957234
0.013796,0.358264
0.013703,0.087047
-0.000731,0.914981
0.014613,0.405662
-0.002096,0.953927
-0.00211,0.953228
0.011222,-0.96644
0.013678,0.092439
-0.00189,0.956925
0.011914,-0.999374
0.011355,-0.963987
-0.002477,-0.573859
-0.002259,0.944221
0.010279,-0.985203
-0.001882,0.957802
0.013826,-0.022791
0.010819,-0.847752
0.014541,-0.054044
-0.002101,0.953349
-0.007101,-0.729279
0.011171,-0.994855
0.005284,-0.907478
-0.001906,0.95736
0.013851,-0.008686
0.015005,0.310172
0.011288,-0.970127
0.005446,-0.921625
0.010943,-0.974205
0.013596,-0.013061
0.014462,-0.055555
0.011038,0.153875
0.013372,0.248622
-0.006905,-0.720655
0.011493,-0.95886
0.013481,0.052552
0.013812,0.086158
0.013528,0.102715
-0.002097,0.953138
0.013717,0.101583
0.011393,-0.961217
0.010964,-0.974461
-0.006843,-0.692083
0.008809,-0.99081
0.010264,-0.906204
0.011383,-0.960332
0.014494,0.688943
0.013714,0.100321
0.015012,0.310056
-0.001938,0.956945
0.011365,-0.961728
-0.002062,0.956498
-0.002107,0.954428
-0.001567,0.871197
0.015033,0.179293
-0.001957,0.957697
-0.001898,0.958158
-0.001914,0.957471
-0.006843,-0.692083
-0.002307,0.935018
-0.001271,0.93459
-0.001793,-0.577732
0.011094,-0.006927
0.013662,-0.002555
-0.0023,0.934869
0.013975,-0.109423
0.010657,-0.843654
0.013738,0.07382
0.008423,-0.997511
0.011961,-0.05144
-0.002215,0.922343
-0.001592,0.871394
0.014413,0.217385
0.010035,-0.878041
0.01184,-0.995275
0.000906,0.979959
0.011118,0.046313
0.011914,-0.999374
0.013744,0.078361
0.012391,0.210758
0.014027,-0.039626
-0.001888,0.957385
0.013136,0.041101
0.009486,-0.99256
0.014464,-0.05611
0.01508,0.501355
0.013703,0.087047
-0.000391,0.892539
0.013875,0.111539
0.01019,-0.981013
-0.007774,-0.756911
0.013597,0.074985
0.013658,-0.002458
0.014382,0.603649
-0.0019,0.957868
-0.00985,0.314291
0.009769,-0.880585
-0.004826,-0.746476
-0.001592,0.871394
0.000321,0.938926
0.011125,-0.984772
0.000874,0.979159
-0.002204,0.922174
0.009611,-0.92755
-0.006815,-0.68444
-0.002643,0.90502
-0.001867,0.957737
0.011096,-0.006455
-0.002419,0.923358
-0.001889,0.957531
0.013789,0.116705
0.013996,0.121743
0.009769,-0.880585
0.000945,0.979575
0.009399,-0.889201
-0.001906,0.95736
0.013805,-0.162755
0.009666,-0.995456
0.011205,-0.967052
-0.002102,0.953143
-0.002323,0.930405
-0.006911,-0.731695
0.013789,0.116705
0.012063,-0.982622
0.013663,-0.00141
0.005799,-0.987336
0.012757,0.141369
0.013566,0.251934
0.000313,0.970775
0.009729,-0.882028
-0.001981,0.956839
0.012427,-0.961255
0.011564,0.032359
-0.00237,0.937464
-0.001906,0.95736
0.010961,-0.974505
0.011315,-0.003753
0.009379,-0.997853
-0.001923,0.957259
0.013959,-0.021991
-0.001876,0.957183
-0.002014,0.957345
0.014382,0.603649
0.011231,-0.967262
0.013724,0.089139
0.001097,0.988576
0.013504,0.043416
0.009733,-0.99559
0.000939,0.979949
0.011205,-0.966864
0.013653,-0.065745
0.006355,-0.370039
0.000959,0.979113
-0.006843,-0.692083
-0.00237,0.937464
0.009951,-0.999153
-0.002368,0.937477
-0.00222,0.922653
-0.0019,0.957868
0.005768,-0.98712
0.011544,0.038496
-0.001891,0.956768
0.011423,-0.960623
-0.002107,0.952889
0.012932,0.032734
0.011383,-0.961303
-0.001914,0.957471
0.014032,0.169876
0.013783,0.001198
-0.002107,0.952889
-0.002643,0.90502
-0.007101,-0.729279
0.013809,0.10703
-0.0023,0.934869
0.012331,-0.998546
-0.001954,0.957208
0.01394,-0.023465
-0.002093,0.953769
0.01019,-0.981013
-0.006792,-0.744291
0.011223,-0.966792
-0.002117,0.952948
0.008721,-1
0.013855,-0.036257
0.008852,-0.999799
0.010917,-0.974103
-0.002405,0.937828
-0.000903,0.967414
-0.001907,0.957239
0.011911,-0.999334
-0.001893,0.957314
0.008211,-0.289045
0.011536,-0.989086
-0.001907,0.957239
-0.007636,0.469489
0.009967,-0.999273
0.012032,0.178282
0.008753,-0.990417
0.015012,0.309595
0.000141,0.980206
-0.002103,0.953349
0.011376,-0.961489
0.011835,-0.995419
-0.002339,0.937422
-0.009969,0.283142
0.013703,-0.003204
0.010271,-0.096728
0.010939,-0.973435
0.011447,-0.953867
0.008714,-0.999998
0.011757,-0.945746
-0.00193,0.959565
-0.001914,0.957471
0.00969,-0.995196
-0.001893,0.957314
-0.002161,0.937294
-0.001873,0.957244
0.011746,-0.945924
-0.001888,0.957385
0.011328,-0.96335
0.015012,0.309
0.011986,-0.985242
0.010964,-0.97469
0.01366,-0.00224
0.000938,0.979523
-0.007636,0.469489
0.000978,0.979216
0.010497,-0.972176
0.013147,0.039201
0.014027,-0.039398
-0.001997,0.957481
0.010991,-0.97429
0.013769,0.087638
0.013212,-0.838128
0.013716,0.081266
0.013624,0.098246
0.010819,-0.976804
0.014427,0.212921
0.014012,-0.023536
0.011755,-0.946003
0.010956,-0.974591
0.01137,-0.963449
0.011095,-0.006449
0.011881,-0.981137
0.013621,0.174891
-0.001921,0.957461
-0.007101,-0.729279
0.013838,0.230651
-0.002302,0.935018
-0.002117,0.952948
0.013863,0.082085
0.000673,0.97719
-0.001879,0.958238
0.011201,-0.997849
0.008714,-0.999998
-0.002381,0.937434
-0.001581,0.87094
0.013789,0.116705
0.009397,-0.995995
0.010956,-0.974591
0.010914,-0.158911
-0.00237,0.937464
0.000963,0.979516
0.011012,-0.998232
-0.00193,0.959565
0.010934,-0.974838
0.013824,-0.035486
0.013649,0.075099
-0.00653,-0.747761
-0.002227,0.92216
0.012056,0.126688
0.013872,0.100973
0.011037,-0.996642
-0.000731,0.914981
-0.001893,0.957314
-0.001567,0.87106
-0.008797,-0.780497
0.012932,0.032734
0.014413,0.217385
0.010737,-0.982072
-0.00205,0.947946
-0.002094,0.950081
-0.001961,0.957102
-0.001957,0.957697
-0.007101,-0.729279
0.013998,-0.039209
0.013784,0.093996
0.01139,-0.955827
0.000924,0.979413
-0.002052,0.948257
0.011597,-0.968737
0.011896,-0.976011
0.013135,0.038808
-0.002092,0.953175
0.014093,0.181743
0.009785,-0.881303
0.013669,0.088268
-0.002621,0.905783
-0.001898,0.957309
-0.007553,-0.759176
0.014289,-0.030986
0.011217,-0.992549
0.007909,-0.990644
0.010201,-0.998118
-0.002355,0.937483
-0.001879,0.958238
0.010718,-0.983215
-0.001898,0.957234
-0.001271,0.93459
-0.002685,0.905687
0.014382,0.603649
0.01056,-0.976037
0.014382,0.603649
0.000907,0.979656
0.013614,0.077422
0.011649,-0.999149
-0.001873,0.957244
